name	signature
Naive	Lef1;Tcf7;Ccr7
Memory	Gzmk
Effector	Gzmb;Gnly;Prf1;Prdm1;Klrd1;Slc9A3R1
exhausted	Tigit;Pdcd1
proliferative	Mki67;Tyms
Senescence	B3Gat1
