name	signature
Tcell	CD3D;CD3E;CD3G;CD2
Effector	
TEM	
TEMRA	
TRM	
Tcm	
CD27	CD27;CD28
SELL	SELL
CCR7	CCR7
CD127	IL7R
CD25	IL2RA
PD-1	PDCD1
CD44	CD44
