name	signature
IFNg	Ifng
TNFa	Tnf
IL10	Il10
IL4	Il4
IL17	Il17A;Il17F
GranzymeB	Gzmb
Perforin	Prf1
Granulysin	Gnly
Early	Cd69
Late	Il2Ra
Very.late	Cd38
Very.late1	Hla-Dra;Hla-Drb1;Hla-Drb5
resting	Il4R
