name	signature
Tregs	FOXP3
Th1	CXCR3;TBX21
Th2	CCR4
Th9	IL9
Th17	RORC
MAIT	TRAV1-2
Tfh	CXCR5
Th22	IL22
NK	KLRC1;KLRD1
Tcell	CD3E
mono	CD14
CD8	CD8A;CD8B
