name	signature
CD8	CD8A;CD8B
CD4	CD4;CD40LG
Trm	ITGAE
Tcm	GZMK
cyto	GZMB;PRF1;GNLY
Tnaive	SELL
Treg	FOXP3
Th17	RORC;CCR6;CXCR6
Th1	GZMB;IFNG;GNLY;NKG7
Tfh	CXCL13;IL21
mem	IL7R;TCF7;CCR7
EN	ENTPD1
