name	signature
CD4T	CD4
Treg	FOXP3
Exh	CXCL13;PDCD1;TOX
NaiveLike	CCR7;LEF1;TCF7;SELL
Tfh	IL21;CD200;CXCL13;TOX;TOX2
CTL	GZMB;PRF1;GZMA;NKG7;CCL5
Th1_Gzmk	GZMK;EOMES;CRTAM
Th17	IL17A;IL17F;RORC;CTSH;KLRB1;CCL20;IL26
