"V1"
"A2M"
"A2ML1"
"A4GALT"
"AADAC"
"AARD"
"ABCA1"
"ABCA12"
"ABCA13"
"ABCA6"
"ABCA8"
"ABCA9-AS1"
"ABCB5"
"ABCC12"
"ABCC3"
"ABI3"
"ABI3BP"
"ABLIM3"
"AC002331.1"
"AC002454.1"
"AC002456.1"
"AC003043.2"
"AC003092.1"
"AC004069.1"
"AC004148.1"
"AC004223.2"
"AC004540.2"
"AC004585.1"
"AC004687.1"
"AC004817.3"
"AC004817.5"
"AC004832.6"
"AC004941.1"
"AC005280.2"
"AC005304.2"
"AC005392.2"
"AC005674.1"
"AC005993.1"
"AC006058.1"
"AC006058.3"
"AC006129.2"
"AC006230.1"
"AC006482.1"
"AC006518.7"
"AC007128.2"
"AC007255.1"
"AC007278.1"
"AC007298.2"
"AC007325.2"
"AC007349.5"
"AC007362.1"
"AC007384.1"
"AC007431.1"
"AC007450.1"
"AC007497.2"
"AC007569.1"
"AC007906.2"
"AC007952.4"
"AC008011.2"
"AC008050.1"
"AC008397.2"
"AC008556.1"
"AC008569.2"
"AC008763.3"
"AC008840.1"
"AC008945.1"
"AC009264.1"
"AC009271.1"
"AC009365.1"
"AC009630.4"
"AC009951.6"
"AC010127.1"
"AC010168.1"
"AC010201.3"
"AC010275.1"
"AC010280.1"
"AC010328.1"
"AC010329.1"
"AC010343.3"
"AC010422.1"
"AC010595.1"
"AC010615.2"
"AC010719.1"
"AC010737.1"
"AC011287.1"
"AC011374.1"
"AC011472.1"
"AC011473.4"
"AC011603.2"
"AC011893.3"
"AC011944.1"
"AC012103.1"
"AC012236.1"
"AC012414.3"
"AC012555.1"
"AC012588.1"
"AC012645.3"
"AC013457.1"
"AC013553.4"
"AC015660.2"
"AC015660.3"
"AC015912.3"
"AC016074.2"
"AC016542.1"
"AC016629.2"
"AC016717.2"
"AC016831.7"
"AC017002.1"
"AC017002.3"
"AC017060.1"
"AC017104.1"
"AC018553.2"
"AC018630.2"
"AC018755.4"
"AC018816.3"
"AC019117.1"
"AC019197.1"
"AC019257.1"
"AC019349.1"
"AC020571.1"
"AC020656.1"
"AC020743.2"
"AC020916.1"
"AC021218.1"
"AC021218.2"
"AC021422.1"
"AC021504.1"
"AC021678.2"
"AC022031.2"
"AC022034.2"
"AC022075.1"
"AC022101.1"
"AC022182.3"
"AC022240.1"
"AC022509.4"
"AC022568.1"
"AC022639.1"
"AC022816.1"
"AC022898.1"
"AC023157.3"
"AC023347.1"
"AC023590.1"
"AC024270.4"
"AC024270.5"
"AC024560.2"
"AC024610.2"
"AC025048.4"
"AC025062.3"
"AC025580.1"
"AC025580.3"
"AC026310.2"
"AC026369.3"
"AC026689.1"
"AC027031.2"
"AC036108.4"
"AC040963.1"
"AC055758.2"
"AC064805.1"
"AC067752.1"
"AC068196.1"
"AC068446.2"
"AC068492.1"
"AC068775.1"
"AC069209.1"
"AC069360.1"
"AC069363.1"
"AC073072.1"
"AC073316.3"
"AC073352.2"
"AC073365.1"
"AC074289.1"
"AC074327.1"
"AC078850.1"
"AC078929.1"
"AC079305.8"
"AC079385.2"
"AC079760.2"
"AC079767-4"
"AC079767.4"
"AC084033.3"
"AC084082.3"
"AC084125.2"
"AC084212.1"
"AC084859.1"
"AC084871.2"
"AC087284.1"
"AC087854.1"
"AC089984.1"
"AC090125.1"
"AC090136.3"
"AC090152.1"
"AC090192.2"
"AC090236.1"
"AC090409.1"
"AC090498-1"
"AC090498.1"
"AC090627.1"
"AC091173.1"
"AC091271.1"
"AC092053.4"
"AC092118.1"
"AC092171.3"
"AC092306.1"
"AC092327.2"
"AC092484.1"
"AC092535.3"
"AC092580.4"
"AC092652.2"
"AC092653.1"
"AC092674.1"
"AC092691.1"
"AC092718.6"
"AC092803.2"
"AC092809.2"
"AC092810.3"
"AC093277.1"
"AC093390.2"
"AC093459.1"
"AC093797.1"
"AC093821.1"
"AC093895.1"
"AC093916.1"
"AC096637.2"
"AC097375.1"
"AC097532.2"
"AC097709.1"
"AC098679.1"
"AC099342.1"
"AC099520.1"
"AC099524.1"
"AC099560.1"
"AC099811.4"
"AC100801.1"
"AC103563.9"
"AC103591.3"
"AC104024.1"
"AC104051.2"
"AC104071.1"
"AC104123.1"
"AC104248.1"
"AC104316.2"
"AC104389-1"
"AC104667.2"
"AC104699.1"
"AC104820.2"
"AC104823.1"
"AC105760.1"
"AC106882.1"
"AC108134.1"
"AC108134.2"
"AC108860.2"
"AC109630.1"
"AC110048.2"
"AC110620.2"
"AC111149.2"
"AC112721.2"
"AC114291.1"
"AC114401.1"
"AC115989.2"
"AC116049.2"
"AC116366.3"
"AC117500.1"
"AC122694.1"
"AC123567.2"
"AC123768.5"
"AC123777.1"
"AC125603.2"
"AC126175.1"
"AC126696.1"
"AC127522.1"
"AC130456.3"
"AC133065.1"
"AC133644.2"
"AC134043.1"
"AC135068.2"
"AC135068.9"
"AC135776.1"
"AC135776.2"
"AC139099.2"
"AC139100.3"
"AC140847.2"
"AC145110.1"
"AC233755-1"
"AC233755-2"
"AC233755.1"
"AC233755.2"
"AC243772.2"
"AC243829.4"
"AC243960.1"
"AC244021.1"
"AC244100.2"
"AC244453.3"
"AC244502.1"
"AC244636.3"
"AC245014.3"
"AC245041.2"
"AC245100.1"
"AC245128.3"
"AC246787.2"
"AC254629.1"
"ACAA2"
"ACAT2"
"ACKR1"
"ACKR3"
"ACOD1"
"ACOT1"
"ACOT7"
"ACP5"
"ACTA2"
"ACTB"
"ACTG1"
"ACTG2"
"ACTN1"
"ACVRL1"
"ACY3"
"AD000671.2"
"AD000671.6"
