levels	use_as	name	signature
level1	positive	Mac1	
level2	positive	Mac2	
level3	positive	Mac3	
level4	negative	DC1_1	
level5	negative	DC1_2	
level6	negative	DC2_1	
level7	negative	DC2_2	
level8	negative	pDC	
