name	signature
CD8	CD8A;CD8B
CD4	CD4
Tcell	CD3E;CD3D
Th2_like	CCR4
Treg	FOXP3
Th1_like	CXCR3
Th1_like2	TBX21
Th17_like	
Mono	CD14
